number;content
24-00-00-810-801;Электропроводка
24-20-00-810-801;Контактор K5-26 (K1)
24-20-00-810-801;Блок управления генератором левый (6-X242)
24-20-00-810-801;Электропроводка
24-20-00-810-802;Блок управления генератором левый (6-Х242)
24-20-00-810-803;Блок управления генератором левый (6-Х242)
24-20-00-810-804;Электропроводка
24-20-00-810-804;Блок управления генератором левый (6-Х242)
24-20-00-810-804;Контактор K5-26 (K1)
24-20-00-810-805;Электропроводка
24-20-00-810-805;Кнопка-табло L GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-805;Блок управления генератором левый (6-X242)
24-20-00-810-806;Электропроводка
24-20-00-810-806;Кнопка-табло L GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-806;Блок управления генератором левый (6-Х242)
24-20-00-810-807;Блок управления генератором левый (6-X242)
24-20-00-810-808;Блок управления генератором левый (6-Х242)
24-20-00-810-809;Блок управления генератором левый (6-Х242)
24-20-00-810-810;Блок управления генератором левый (6-Х242)
24-20-00-810-811;Электропроводка
24-20-00-810-811;Блок управления генератором левый (6-Х242)
24-20-00-810-811;Привод-генератор левый (15-X242)
24-20-00-810-812;Электропроводка
24-20-00-810-812;Сервоклапан привод-генератора левого (15-Х242)
24-20-00-810-812;Блок управления генератором левый (6-Х242)
24-20-00-810-813;Блок управления генератором левый (6-Х242)
24-20-00-810-814;Электропроводка
24-20-00-810-814;Блок-концентратор данных (3-T314)
24-20-00-810-814;Блок управления генератором левый (6-Х242)3
24-20-00-810-816;Блок управления генератором левый (6-X242)
24-20-00-810-817;Блок-концентратор данных (3-T314)
24-20-00-810-817;Блок управления генератором левый (6-X242)
24-20-00-810-818;Электропроводка
24-20-00-810-818;Привод-генератор левый (15-X242)
24-20-00-810-818;Блок управления генератором левый (6-X242)
24-20-00-810-820;Низкий уровень масла в привод-генераторе левом (15-X242), внешние протечки
24-20-00-810-820;Теплообменник привод-генератора левого (15-X242)
24-20-00-810-821;Привод-генератор левый (15-Х242)
24-20-00-810-822;Электропроводка
24-20-00-810-822;Кнопка-табло L GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-822;Блок управления генератором левый (6-Х242)
24-20-00-810-823;Электропроводка
24-20-00-810-823;Кнопка-таблоL DRIVE на центральной части потолочного пульта (5-F311)
24-20-00-810-823;Блок управления генератором левый (6-Х242)
24-20-00-810-824;Привод-генератор левый (15-X242)
24-20-00-810-824;Блок управления генератором левый (6-X242)
24-20-00-810-825;Низкий уровень масла, внешние утечки или слабое внешнее охлаждение привод-генераторалевого (15-X242)
24-20-00-810-826;Электропроводка
24-20-00-810-826;Кнопка-табло L GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-826;Блок управления генератором левый (6-Х242)
24-20-00-810-827;Электропроводка
24-20-00-810-827;Кнопка-табло L GEN на центральном потолочном пульте (5-F311)
24-20-00-810-827;Блок управления генератором левый (6-X242)
24-20-00-810-828;Электропроводка
24-20-00-810-828;Кнопка-табло L DRIVE на центральном потолочном пульте (5-F311)
24-20-00-810-828;Блок управления генератором левый (6-X242)
24-20-00-810-829;Электропроводка
24-20-00-810-829;Кнопка-табло L DRIVE на центральном потолочном пульте (5-F311)
24-20-00-810-829;Блок управления генератором левый (6-X242)
24-20-00-810-830;Блок управления генератором левый (6-X242)
24-20-00-810-831;Электропроводка
24-20-00-810-831;Кнопка-табло FIRE на пульте противопожарной защиты (7-F311) левого двигателя
24-20-00-810-831;Блок управления генератором левый (6-X242)
24-20-00-810-832;Электропроводка
24-20-00-810-832;Блок управления генератором левый (6-X242)
24-20-00-810-833;Электропроводка
24-20-00-810-833;Кнопка-табло L GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-833;Блок управления генератором левый (6-X242)
24-20-00-810-834;Электропроводка
24-20-00-810-834;Кнопка-табло L GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-834;Блок управления генератором левый (6-X242)
24-20-00-810-835;Блок управления генератором левый (6-X242)
24-20-00-810-836;Блок управления генератором левый (6-X242)
24-20-00-810-837;Блок управления генератором левый (6-X242)
24-20-00-810-838;Блок управления генератором левый (6-X242)
24-20-00-810-839;Электропроводка
24-20-00-810-839;Блок управления генератором левый (6-X242)
24-20-00-810-840;Блок управления генератором левый (6-X242)
24-20-00-810-841;Блок управления генератором левый (6-X242)
24-20-00-810-842;Электропроводка
24-20-00-810-842;Блок управления генератором левый (6-X242)
24-20-00-810-842;Привод-генератор левый (15-X242)
24-20-00-810-843;Электропроводка
24-20-00-810-843;Блок управления генератором левый (6-X242)
24-20-00-810-844;Блок управления генератором левый (6-X242)
24-20-00-810-845;Электропроводка
24-20-00-810-845;Привод-генератор левый (15-X242)
24-20-00-810-845;Блок управления генератором левый (6-X242)
24-20-00-810-846;Электропроводка
24-20-00-810-846;Привод-генератор левый (15-X242)
24-20-00-810-846;Блок управления генератором левый (6-X242)
24-20-00-810-847;Электропроводка
24-20-00-810-847;Привод-генератор левый (15-X242)
24-20-00-810-847;Блок управления генератором левый (6-X242)
24-20-00-810-848;Блок управления генератором левый (6-X242)
24-20-00-810-849;Электропроводка
24-20-00-810-849;Привод-генератор левый (15-X242)
24-20-00-810-850;Электропроводка
24-20-00-810-850;Блок управления генератором левый (6-X242)
24-20-00-810-851;Электропроводка
24-20-00-810-851;Блок управления генератором левый (6-X242)
