Авариийно-сигнальное сообщение;Сообщение БСТО::Источник;Сообщение БСТО::ИН;Сообщение БСТО::Краткое описание неисправности;Работа РУН;Сигнализация СЭИ;Сигнализация СЭИ::Мнемокадр ELEC;Ошибки;Локальная сигнализация;Локальная сигнализация:: Альтернативное название;Локальная сигнализация::Пульт ELEC;Наблюдаемые неисправности
ELEC APU GEN FAULT;;;;24-23-00-810-932;;;;;;;
ELEC APU GEN FAULT;EPGS;12;K31 AUX FAILED ON/OFF;24-23-00-810-804;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;13;K31/K32 DRIVER SHORT;24-23-00-810-803;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;14;K32 AUX FAILED ON/OFF;24-23-00-810-805;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;34;AGEN CANT COME ONLINE;24-23-00-810-838;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;67;UNLOADED PMG VOLT LOW;24-23-00-810-809;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;101;AGEN OV / VR FAILURE;24-23-00-810-850;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;103;AGEN OV / POR SENSE;24-23-00-810-847;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;108;AGEN UV / OPEN PHASE;24-23-00-810-855;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;115;AGEN UV / GEN NEUTRAL;24-23-00-810-858;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;;;;
ELEC APU GEN FAULT;EPGS;117;AGEN UF TRIP;24-23-00-810-866;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;121;SRD FAULT;24-23-00-810-868;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;122;AGEN UV / SOPMG;24-23-00-810-851;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;129;AGEN UV / EXCITER SHORT;24-23-00-810-852;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;133;AGEN DP TRIP;24-23-00-810-872;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;134;AGEN DP / LINE CTA;24-23-00-810-871;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;136;AGEN OC/OVERCURRENT TRIP;24-23-00-810-874;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;138;AGEN UV / EXCITER OPEN;24-23-00-810-853;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;148;AGEN UV / POR NEUTRAL;24-23-00-810-857;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;149;AGEN UV / POR;24-23-00-810-859;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;155;AGEN UV / VR OR PMG;24-23-00-810-854;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;159;AGEN OF / PMG SENSE;24-23-00-810-862;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;169;AGEN OVERFREQUENCY;24-23-00-810-863;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;;;;
