Имя;Номер работы;Раздел;Подраздел;Код системы;Номер страницы начальной;Номер страницы конечной;Номер фактической страницы
Срабатывание АЗС;24-00-00-810-801;24-00-00;810-801;24-00-00;201;202;105
Сигнальный контакт контактора К1 ошибочно замкнут на корпус при отсутствии сигнала на включение контактора K1 или сигнальный контакт контактора К1 ошибочно не замкнут на корпус при наличи сигнала на включение контактора К1;24-20-00-810-801;24-20-00;810-801;24-20-00;201;202;107
Ложный сигнал обнаружения превышенния допустимого тока катушки контактора К1;24-20-00-810-802;24-20-00;810-802;24-20-00;201;202;109
Цепь определения состояния катушки контактора К1 ошибочно активна или не активна;24-20-00-810-803;24-20-00;810-803;24-20-00;201;202;111
КЗ в цепи обнаружения превышенния допустимого тока катушки контактора K1;24-20-00-810-804;24-20-00;810-804;24-20-00;201;202;113
Отказ кнопки-табло L GEN или цепи определения состояния кнопки- табло с неподключением генератора к шине;24-20-00-810-805;24-20-00;810-805;24-20-00;201;202;115
Отказ кнопки-табло L GEN или цепи определения состояния кнопки- табло;24-20-00-810-806;24-20-00;810-806;24-20-00;201;202;117
Отказ при определении состояния кнопки-табло L GEN с неподключением генератора к шине;24-20-00-810-807;24-20-00;810-807;24-20-00;201;202;119
Низкое напряжение плюсовой цепи возбудителя генератора левого двигателя;24-20-00-810-808;24-20-00;810-808;24-20-00;201;202;121
Цепь обнаружения сверхтоков возбудителя генератора левого двигателя ошибочно активна;24-20-00-810-809;24-20-00;810-809;24-20-00;201;202;123
Низкое или высокое напряжение минусовой цепи возбудителя генератора левого двигателя;24-20-00-810-810;24-20-00;810-810;24-20-00;201;202;125
Низкое напряжение генератора на постоянных магнитах генератора левого двигателя;24-20-00-810-811;24-20-00;810-811;24-20-00;201;202;127
Отказ в управлении током сервоклапана привод-генератора левого двигателя;24-20-00-810-812;24-20-00;810-812;24-20-00;201;202;129
Цепь обнаружения сверхтоков сервоклапана привод-генератора левого двигателя ошибочно активна;24-20-00-810-813;24-20-00;810-813;24-20-00;201;202;131
Отказ контроля частоты вращения левого двигателя;24-20-00-810-814;24-20-00;810-814;24-20-00;201;202;133
Цепь определения состояния реле отключения кухонь ошибочно замкнута (для блока управления генератором левого двигателя);24-20-00-810-816;24-20-00;810-816;24-20-00;201;202;135
Отказ цифровой системы управления левым двигателем (для блока управления генератором левого двигателя);24-20-00-810-817;24-20-00;810-817;24-20-00;201;202;137
Отказ сигнализатора температуры масла привод-генератора левого двигателя или цепи сигнализатора температуры или цепь определения состояния сигнализатора температуры ошибочно в состоянии высоко или низко;24-20-00-810-818;24-20-00;810-818;24-20-00;201;202;139
Расцепление привод-генератора и коробки приводов левого двигателя в результате срабатывания термической защиты;24-20-00-810-820;24-20-00;810-820;24-20-00;201;202;141
Не срабатывание расцепления привод-генератора и коробки приводов левого двигателя при термической защите привод- генератора;24-20-00-810-821;24-20-00;810-821;24-20-00;201;202;143
Цепь определения состояния выхода выдачи предупреждения отказа привод-генератора левого двигателя ошибочно не активна;24-20-00-810-822;24-20-00;810-822;24-20-00;201;202;145
Цепь определения состояния выхода выдачи предупреждения отказа привод-генератора левого двигателя ошибочно активна;24-20-00-810-823;24-20-00;810-823;24-20-00;201;202;147
Отказ сигнализатора давления масла привод-генератора левого двигателя или цепи сигнализатора давления;24-20-00-810-824;24-20-00;810-824;24-20-00;201;202;149
Низкое давление масла привод-генератора левого двигателя;24-20-00-810-825;24-20-00;810-825;24-20-00;201;202;151
Выход выдачи предупреждения отказа генератора левого двигателя ошибочно активен;24-20-00-810-826;24-20-00;810-826;24-20-00;201;202;153
Выход выдачи предупреждения отказа генератора левого двигателя ошибочно не активен;24-20-00-810-827;24-20-00;810-827;24-20-00;201;202;155
Статус сигнала отключения привод-генератора левого двигателя ошибочно не активен;24-20-00-810-828;24-20-00;810-828;24-20-00;201;202;157
Статус сигнала отключения привод-генератора левого двигателя ошибочно активен;24-20-00-810-829;24-20-00;810-829;24-20-00;201;202;159
Отказ цепи определения частоты в точке регулирования или генератора на постоянных магнитах привод-генератора левого двигателя;24-20-00-810-830;24-20-00;810-830;24-20-00;201;202;161
Кнопка-табло FIRE левого двигателя активна;24-20-00-810-831;24-20-00;810-831;24-20-00;201;202;163
Ошибка програмирования блока управления генератором левого двигателя с помощью перемычек;24-20-00-810-832;24-20-00;810-832;24-20-00;201;202;165
Сигнал статуса отключения генератора левого двигателя ошибочно активен;24-20-00-810-833;24-20-00;810-833;24-20-00;201;202;167
Сигнал статуса отключения генератора левого двигателя ошибочно не активен;24-20-00-810-834;24-20-00;810-834;24-20-00;201;202;169
Сигнал статуса наличия одного источника переменного тока от блока управления генератором левого двигателя ошибочно активен;24-20-00-810-835;24-20-00;810-835;24-20-00;201;202;171
Сигнал статуса наличия одного источника переменного тока от блока управления генератором левого двигателя ошибочно не активен;24-20-00-810-836;24-20-00;810-836;24-20-00;201;202;173
Сигнал статуса наличия блокировки превышения тока генератора левого двигателя ошибочно активен;24-20-00-810-837;24-20-00;810-837;24-20-00;201;202;175
Сигнал статуса наличия блокировки при превышении тока генератора левого двигателя ошибочно не активен;24-20-00-810-838;24-20-00;810-838;24-20-00;201;202;177
Коротокое замыкание или обрыв в цепи генератора на постоянных магнитах генератора левого двигателя;24-20-00-810-839;24-20-00;810-839;24-20-00;201;202;179
Сигнал статуса наличия короткого замыкание или обрыва в цепи генератора на постоянных магнитах генератора левого двигателя ошибочно активен;24-20-00-810-840;24-20-00;810-840;24-20-00;201;202;181
Срабатывание защиты от повышенного напряжения генератора левого двигателя, вызванное отказом цепи точки регулирования;24-20-00-810-841;24-20-00;810-841;24-20-00;201;202;183
Срабатывание защиты от повышенного напряжения генератора левого двигателя, вызванное коротким замыканием минусовой цепи возбудителя генератора левого двигателя на корпус или экран;24-20-00-810-842;24-20-00;810-842;24-20-00;201;202;185
Срабатывание защиты от повышенного напряжения генератора левого двигателя, вызванное обрывом нейтрали цепи точки регулирования;24-20-00-810-843;24-20-00;810-843;24-20-00;201;202;187
Срабатывание защиты от повышенного напряжения генератора левого двигателя, вызванное отказом блока управления генератором левого двигателя;24-20-00-810-844;24-20-00;810-844;24-20-00;201;202;189
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное коротоким замыканием или обрывом в цепи генератора на постоянных магнитах;24-20-00-810-845;24-20-00;810-845;24-20-00;201;202;191
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное КЗ в цепи возбудителя;24-20-00-810-846;24-20-00;810-846;24-20-00;201;202;193
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом в цепи возбудителя;24-20-00-810-847;24-20-00;810-847;24-20-00;201;202;195
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное регулированием блока управления генератора левого двигателя;24-20-00-810-848;24-20-00;810-848;24-20-00;201;202;197
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом фидера генератора левого двигателя;24-20-00-810-849;24-20-00;810-849;24-20-00;201;202;199
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом цепи точки регулирования генератора левого двигателя;24-20-00-810-850;24-20-00;810-850;24-20-00;201;202;201
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом цепи нейтрали точки регулирования;24-20-00-810-851;24-20-00;810-851;24-20-00;201;202;203
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом цепи нейтрали привод- генератора;24-20-00-810-852;24-20-00;810-852;24-20-00;201;202;205
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное отказом цепи точки регулирования или фидера;24-20-00-810-853;24-20-00;810-853;24-20-00;201;202;207
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом цепи нейтрали точки регулирования;24-20-00-810-854;24-20-00;810-854;24-20-00;201;202;209
Срабатывание защиты от пониженного напряжения генератора левого двигателя, вызванное обрывом цепи нейтрали фидера;24-20-00-810-855;24-20-00;810-855;24-20-00;201;202;211
Срабатывание защиты от повышенной частоты, вызванное отказом цепи определения частоты генератора левого двигателя;24-20-00-810-856;24-20-00;810-856;24-20-00;201;202;213
Срабатывание защиты от повышенной частоты, вызванное отказом цепи управлении током сервоклапана привод-генератора левого двигателя;24-20-00-810-857;24-20-00;810-857;24-20-00;201;202;215
Срабатывание защиты от повышенной частоты, вызванное отказом обратного провода сервоклапана;24-20-00-810-858;24-20-00;810-858;24-20-00;201;202;217
Срабатывание защиты от повышенной частоты при достижении частоты 480 ± 5 Hz привод-генератором левого двигателя;24-20-00-810-859;24-20-00;810-859;24-20-00;201;202;219
Срабатывание защиты от пониженной частоты, вызванное коротоким замыканием или обрывом в цепи вращающихся диодов генератора левого двигателя;24-20-00-810-860;24-20-00;810-860;24-20-00;201;202;221
Срабатывание защиты от пониженной частоты, вызванное отказом цепи определения частоты генератора на постоянных магнитах генератора левого двигателя;24-20-00-810-861;24-20-00;810-861;24-20-00;201;202;223
Срабатывание защиты от пониженной частоты, вызванное отказом цепи управлении током сервоклапана привод-генератора левого двигателя;24-20-00-810-862;24-20-00;810-862;24-20-00;201;202;225
Срабатывание защиты от пониженной частоты, вызванное срабатыванием термической защиты привод-генератора левого двигателя;24-20-00-810-863;24-20-00;810-863;24-20-00;201;202;227
Срабатывание защиты от пониженной частоты, вызванное низким давлением масла привод-генератора левого двигателя;24-20-00-810-864;24-20-00;810-864;24-20-00;201;202;229
Срабатывание защиты от пониженной частоты, вызванное пониженым током сервоклапана привод-генератора левого двигателя;24-20-00-810-865;24-20-00;810-865;24-20-00;201;202;231
Срабатывание защиты от пониженной частоты, вызванное отсутствием тока сервоклапана привод-генератора левого двигателя;24-20-00-810-866;24-20-00;810-866;24-20-00;201;202;233
Срабатывание защиты от пониженной частоты, вызванное отказом привод-генератора левого двигателя;24-20-00-810-867;24-20-00;810-867;24-20-00;201;202;235
Срабатывание защиты от короткого замыкания в цепи вращающихся диодов, вызванное отказом в цепи обмотки возбуждения генератора левого двигателя;24-20-00-810-868;24-20-00;810-868;24-20-00;201;202;237
Срабатывание защиты от короткого замыкания в цепи вращающихся диодов, вызванное отказом в цепи обмотки возбуждения генератора левого двигателя;24-20-00-810-869;24-20-00;810-869;24-20-00;201;202;239
Срабатывание дифференциальной защиты по току генератора левого двигателя, вызванное отказом блока трансформатора тока генератора;24-20-00-810-870;24-20-00;810-870;24-20-00;201;202;241
Срабатывание дифференциальной защиты по току генератора левого двигателя, вызванное отказом блока трансформатора тока генератора;24-20-00-810-871;24-20-00;810-871;24-20-00;201;202;243
Срабатывание дифференциальной защиты по току генератора левого двигателя, вызванное отказом блока трансформатора тока;24-20-00-810-872;24-20-00;810-872;24-20-00;201;202;245
Срабатывание дифференциальной защиты по току, вызванное наличием КЗ генератора или фидера генератора левого двигателя;24-20-00-810-873;24-20-00;810-873;24-20-00;201;202;247
Срабатывание защиты от превышения тока генератора левого двигателя, вызванное отказом цепи контроля тока;24-20-00-810-874;24-20-00;810-874;24-20-00;201;202;249
Срабатывание защиты от превышения тока генератора левого двигателя, вызванное отказом шины;24-20-00-810-875;24-20-00;810-875;24-20-00;201;204;251
Неправильный порядок чередования фаз генератора левого двигателя;24-20-00-810-876;24-20-00;810-876;24-20-00;201;202;255
