Номер подработы,Обозначение,Фраза,Номер работы,Название,Порядок работ,Результат,Условие выполнения,Причины
/*Система электроснабжения - 24,,,,,,,,
/*Срабатывание АЗС,,,,,,,,
24-00-00-810-801-4,4,Выполните работы по подтверждению неисправности,24-00-00-810-801,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-00-00-810-801-5,5,Выполните работы по поиску и устранению неисправности,24-00-00-810-801,Поиск и устранение неисправности:,,,,
24-00-00-810-801-6,6,Выполните работы по подтверждению устранения неисправности,24-00-00-810-801,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнальный контакт контактора К1 ошибочно замкнут на корпус при отсутствии сигнала на включение контактора K1 или сигнальный контакт контактора К1 ошибочно не замкнут на корпус при наличи сигнала на включение контактора К1,,,,,,,,
24-20-00-810-801-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-801,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-801-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-801,Поиск и устранение неисправности:,,,,
24-20-00-810-801-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-801,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Ложный сигнал обнаружения превышенния допустимого тока катушки контактора К1,,,,,,,,
24-20-00-810-802-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-802,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-802-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-802,Поиск и устранение неисправности:,,,,
24-20-00-810-802-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-802,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Цепь определения состояния катушки контактора К1 ошибочно активна или не активна,,,,,,,,
24-20-00-810-803-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-803,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-803-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-803,Поиск и устранение неисправности:,,,,
24-20-00-810-803-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-803,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*КЗ в цепи обнаружения превышенния допустимого тока катушки контактора K1,,,,,,,,
24-20-00-810-804-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-804,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-804-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-804,Поиск и устранение неисправности:,,,,
24-20-00-810-804-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-804,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ кнопки‐табло L GEN или цепи определения состояния кнопки‐табло с неподключением генератора к шине,,,,,,,,
24-20-00-810-805-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-805,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-805-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-805,Поиск и устранение неисправности:,,,,
24-20-00-810-805-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-805,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ кнопки‐табло L GEN или цепи определения состояния кнопки‐табло,,,,,,,,
24-20-00-810-806-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-806,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-806-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-806,Поиск и устранение неисправности:,,,,
24-20-00-810-806-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-806,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ при определении состояния кнопки‐табло L GEN с неподключением генератора к шине,,,,,,,,
24-20-00-810-807-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-807,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-807-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-807,Поиск и устранение неисправности:,,,,
24-20-00-810-807-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-807,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Низкое напряжение плюсовой цепи возбудителя генератора левого двигателя,,,,,,,,
24-20-00-810-808-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-808,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-808-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-808,Поиск и устранение неисправности:,,,,
24-20-00-810-808-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-808,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Цепь обнаружения сверхтоков возбудителя генератора левого двигателя ошибочно активна,,,,,,,,
24-20-00-810-809-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-809,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-809-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-809,Поиск и устранение неисправности:,,,,
24-20-00-810-809-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-809,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Низкое или высокое напряжение минусовой цепи возбудителя генератора левого двигателя,,,,,,,,
24-20-00-810-810-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-810,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-810-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-810,Поиск и устранение неисправности:,,,,
24-20-00-810-810-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-810,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Низкое напряжение генератора на постоянных магнитах генератора левого двигателя,,,,,,,,
24-20-00-810-811-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-811,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-811-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-811,Поиск и устранение неисправности:,,,,
24-20-00-810-811-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-811,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ в управлении током сервоклапана привод‐генератора левого двигателя,,,,,,,,
24-20-00-810-812-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-812,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-812-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-812,Поиск и устранение неисправности:,,,,
