код;название;код родит. системы;комментарий
00-00-00;RRJ-95;;
21-00-00;СИСТЕМА КОНДИЦИОНИРОВАНИЯ ВОЗДУХА;00-00-00;
22-00-00;СИСТЕМА АВТОМАТИЧЕСКОГО УПРАВЛЕНИЯ;00-00-00;
23-00-00;СВЯЗНОЕ ОБОРУДОВАНИЕ;00-00-00;
24-00-00;СИСТЕМА ЭЛЕКТРОСНАБЖЕНИЯ;00-00-00;
25-00-00;БЫТОВОЕ И АВАРИЙНО-СПАСАТЕЛЬНОЕ ОБОРУДОВАНИЕ;00-00-00;
26-00-00;ПОЖАРНОЕ ОБОРУДОВАНИЕ;00-00-00;
27-00-00;СИСТЕМА УПРАВЛЕНИЯ САМОЛЕТОМ;00-00-00;
28-00-00;ТОПЛИВНАЯ СИСТЕМА;00-00-00;
29-00-00;ГИДРАВЛИЧЕСКАЯ СИСТЕМА;00-00-00;
30-00-00;ПРОТИВООБЛЕДЕНИТЕЛЬНАЯ СИСТЕМА;00-00-00;
31-00-00;ПРИБОРНОЕ ОБОРУДОВАНИЕ;00-00-00;
32-00-00;ШАССИ;00-00-00;
33-00-00;ОСВЕЩЕНИЕ И СВЕТОВАЯ СИГНАЛИЗИЦИЯ;00-00-00;
34-00-00;ПИЛОТАЖНО-НАВИГАЦИОННОЕ ОБОРУДОВАНИЕ;00-00-00;
35-00-00;КИСЛОРОДНОЕ ОБОРУДОВАНИЕ;00-00-00;
36-00-00;ПНЕВМАТИЧЕСКАЯ СИСТЕМА;00-00-00;
38-00-00;СИСТЕМА ВОДОСНАБЖЕНИЯ И УДАЛЕНИЯ ОТХОДОВ;00-00-00;
44-00-00;ОБОРУДОВАНИЕ ПАССАЖИРСКОГО САЛОНА;00-00-00;
45-00-00;БОРТОВАЯ СИСТЕМА ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ;00-00-00;
46-00-00;ИНФОРМАЦИОННЫЕ СИСТЕМЫ;00-00-00;
47-00-00;СИСТЕМА НЕЙТРАЛЬНОГО ГАЗА;00-00-00;
49-00-00;БОРТОВАЯ ВСПОМОГАТЕЛЬНАЯ СИЛОВАЯ УСТАНОВКА;00-00-00;
52-00-00;ЛЮКИ, ДВЕРИ, СТВОРКИ;00-00-00;
53-00-00;ФЮЗЕЛЯЖ;00-00-00;
71-00-00;СИЛОВАЯ УСТАНОВКА;00-00-00;
73-00-00;ТОПЛИВНАЯ СИСТЕМА ДВИГАТЕЛЯ;00-00-00;
74-00-00;СИСТЕМА ЗАЖИГАНИЯ;00-00-00;
75-00-00;СИСТЕМА ОТБОРА ВОЗДУХА;00-00-00;
76-00-00;СИСТЕМА УПРАВЛЕНИЯ ДВИГАТЕЛЕМ;00-00-00;
77-00-00;ПРИБОРЫ КОНТРОЛЯ ДВИГАТЕЛЯ;00-00-00;
78-00-00;СИСТЕМА ВЫХЛОПА;00-00-00;
79-00-00;МАСЛЯНАЯ СИСТЕМА;00-00-00;
80-00-00;СИСТЕМА ЗАПУСКА;00-00-00;
21-22-00;СИСТЕМА ВЕНТИЛЯЦИИ БЛОКОВ АВИОНИКИ;21-00-00;
21-23-00;СИСТЕМА ВЕНТИЛЯЦИИ БАГАЖНО-ГРУЗОВЫХ ОТСЕКОВ;21-00-00;
21-25-00;СИСТЕМА ПОДАЧИ СВЕЖЕГО ВОЗДУХА;21-00-00;
21-31-00;СИСТЕМА АВТОМАТИЧЕСКОГО РЕГУЛИРОВАНИЯ ДАВЛЕНИЯ;21-00-00;
21-41-00;СИСТЕМА ОБОГРЕВА КУХНИ;21-00-00;
21-45-00;СИСТЕМА ОБОГРЕВА ВЕСТИБЮЛЕЙ;21-00-00;
21-51-00;СИСТЕМА РЕГУЛИРОВАНИЯ РАСХОДА;21-00-00;
21-52-00;СИСТЕМА ОХЛАЖДЕНИЯ ВОЗДУХА;21-00-00;
21-53-00;СИСТЕМА АВАРИЙНОЙ ВЕНТИЛЯЦИИ;21-00-00;
21-61-00;СИСТЕМА РЕГУЛИРОВАНИЯ ТЕМПЕРАТУРЫ УОВ;21-00-00;
21-62-00;СИСТЕМА РЕГУЛИРОВАНИЯ ТЕМПЕРАТУРЫ В КАБИНЕ ЭКИПАЖА И ПАССАЖИРСКОЙ КАБИНЕ;21-00-00;
23-11-00;СИСТЕМА КВ СВЯЗИ;23-00-00;
23-12-00;СИСТЕМА УКВ СВЯЗИ;23-00-00;
23-21-00;СИСТЕМА ОБМЕНА ДАННЫМИ;23-00-00;
23-51-00;CИСТЕМА УПРАВЛЕНИЯ ЗВУКОВОЙ ИНФОРМАЦИЕЙ И ВНУТРЕННЕЙ СВЯЗЬЮ;23-00-00;
23-53-00;CИСТЕМА СВЯЗИ С САЛОНОМ;23-00-00;
23-71-00;СИСТЕМА РЕГИСТРАЦИИ ЗВУКОВОЙ ИНФОРМАЦИИ;23-00-00;
23-72-00;СИСТЕМА ВИДЕОНАБЛЮДЕНИЯ;23-00-00;
23-73-00;СИСТЕМА ВНЕШНЕГО ВИДЕОНАБЛЮДЕНИЯ;23-00-00;
23-81-00;CИСТЕМА УПРАВЛЕНИЯ РАДИОСРЕДСТВАМИ;23-00-00;
24-20-00;СИСТЕМА ЭЛЕКТРОСНАБЖЕНИЯ ПЕРЕМЕННЫМ ТОКОМ;24-00-00;
24-22-00;ОСНОВНАЯ СИСТЕМА ПЕРЕМЕННОГО ТОКА;24-00-00;
24-23-00;ВСПОМОГАТЕЛЬНАЯ СИСТЕМА ПЕРЕМЕННОГО ТОКА;24-00-00;
24-24-00;АВАРИЙНАЯ СИСТЕМА ПЕРЕМЕННОГО ТОКА;24-00-00;
